ID,Nome,Rarità,Edizione,Immagine,Posseduta
0c780e37-91b1-4fe1-85c9-7007d91209d5,A-Akki Ronin,common,Kamigawa: Neon Dynasty,https://cards.scryfall.io/normal/front/0/c/0c780e37-91b1-4fe1-85c9-7007d91209d5.jpg?1681158251,True
d116839f-6a3a-4a2e-a3ab-ea177c012746,Adder-Staff Boggart,common,Lorwyn,https://cards.scryfall.io/normal/front/d/1/d116839f-6a3a-4a2e-a3ab-ea177c012746.jpg?1562369151,True
